Heure de début,Heure de fin,Calories (kcal),Distance (m),Fréquence cardiaque moyenne (bpm),Fréquence cardiaque maximale (bpm),Fréquence cardiaque minimale (bpm),Basse latitude (°),Basse longitude (°),Haute latitude (°),Haute longitude (°),Vitesse moyenne (m/s),Vitesse maximale (m/s),Vitesse minimale (m/s),Nombre de pas,Poids moyen (kg),Poids maximal (kg),Poids minimal (kg),"Durée de l'activité ""Inactif"" (ms)","Durée de l'activité ""Marche à pied"" (ms)"
00:00:00.000Z,00:15:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
00:15:00.000Z,00:30:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
00:30:00.000Z,00:45:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
00:45:00.000Z,01:00:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
01:00:00.000Z,01:15:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
01:15:00.000Z,01:30:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
01:30:00.000Z,01:45:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
01:45:00.000Z,02:00:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
02:00:00.000Z,02:15:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
02:15:00.000Z,02:30:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
02:30:00.000Z,02:45:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
02:45:00.000Z,03:00:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
03:00:00.000Z,03:15:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
03:15:00.000Z,03:30:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
03:30:00.000Z,03:45:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
03:45:00.000Z,04:00:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
04:00:00.000Z,04:15:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
04:15:00.000Z,04:30:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
04:30:00.000Z,04:45:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
04:45:00.000Z,05:00:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
05:00:00.000Z,05:15:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
05:15:00.000Z,05:30:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
05:30:00.000Z,05:45:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
05:45:00.000Z,06:00:00.000Z,18.13281092098376,,,,,,,,,,,,,,,,,
